OBJECTID,Altitude,GlobalID,Road_Type,speed_limit,Type_Veimiljø,Type_Veimiljø Other,Type prøve,Date_and_time,Type_prøve,Prøve_ID,Corridor,CreationDate,Creator,EditDate,Editor,x,y
2,,26f4b463-f833-4923-abdd-a4a5f367202b,tettsted,40,rabatt/kantstein,,vei,7/1/2026 7:01:04 AM,Protokol A,101,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4071187139355,63.4169298013902
3,,4cbc8a97-afac-4d2d-9263-e0d4672fe487,tettsted,40,,Ved siden av sykkelsti,gjerde,7/1/2026 7:07:51 AM,Protokol A,146,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4072491588948,63.4168805093006
4,47.0411131943669,bbd7d380-bdd8-45f9-8216-b7032e1816c9,tettsted,40,"to felt,sykkelsti,rabatt/kantstein",,vei,7/1/2026 7:16:53 AM,Protokol A,104,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4112399625101,63.4153904079514
5,,2b939589-e678-4d46-87fd-1be4f0bd52bf,tettsted,40,"ett felt,Busslomme,sykkelsti",,vei,7/1/2026 7:33:23 AM,Protokol A,107,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4144021052422,63.413501514868
6,69.4289485933259,a86e9605-07da-40cd-a8b2-724d3b88474e,tettsted,40,"rabatt/kantstein,1 stk gangsti,ett felt,sykkelsti",,vei,7/1/2026 7:45:19 AM,Protokol A,110,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4205011530374,63.4140657535156
7,,9630fd36-3a0f-43d0-b9ee-4f3405beaf8b,tettsted,40,"1 stk gangsti,ett felt,sykkelsti",,vei,7/1/2026 7:57:24 AM,Protokol A,113,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4254664706943,63.4158485291804
8,102.95275123138,b0ca7a6e-5ac6-40d1-9bd9-6c0089983a4b,tettsted,40,"rabatt/kantstein,sykkelsti,1 stk gangsti,ett felt",Fasade,bygg,7/1/2026 8:02:51 AM,Protokol A,147,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4255247912675,63.4158298147405
9,,4d15f1c5-4215-48d6-929d-95a803749ae9,Privat Bolig,50,"ett felt,rabatt/kantstein,1 stk gangsti",,vei,7/1/2026 8:13:54 AM,Protokol A,116,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4311827126781,63.4157234683496
10,,7da2d62d-de8f-4fae-8059-a287430f5c11,tettsted,50,"gatelys,to felt,Busslomme,1 stk gangsti",,vei,7/1/2026 8:27:19 AM,Protokol A,119,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.432609560748,63.4127927049025
11,,dbb1e814-6a3d-4b77-8476-fdd04ea42051,tettsted,50,"to felt,rabatt/kantstein",,vei,7/1/2026 8:41:04 AM,Protokol A,122,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4358003425967,63.4102772574338
12,120.35895926971,e393f1d9-0718-4bbb-aa2a-288c2bad2620,tettsted,50,"1 stk gangsti,to felt,rabatt/kantstein",Fasade,bygg,7/1/2026 8:41:53 AM,Protokol A,148,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4353597035008,63.410317709363
13,130.846064794858,d56c5c11-0587-451e-bd98-16a849f2aceb,Industri,70,to felt,Motorveg E6,vei,7/1/2026 8:54:03 AM,Protokol A,125,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4418418645072,63.4092032658508
14,,72e89f92-2420-46db-863e-1a3940b3d3df,tettsted,50,"1 stk gangsti,rundkjøringer,ett felt,rabatt/kantstein",,vei,7/1/2026 9:23:09 AM,Protokol A,128,,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,7/1/2026 1:40:23 PM,aydagho_NTNU_2025,10.4471569836397,63.4090040909298
